season,bvi_rank,name,performance_score,consistency_score,BVI_100,total_points,champ_rank
2014,1,Mercedes,1.0,0.417,76.7,701.0,1
2014,2,McLaren,0.24,0.883,49.7,181.0,5
2014,3,Ferrari,0.273,0.824,49.3,216.0,4
2014,4,Williams,0.38,0.635,48.2,320.0,3
2014,5,Red Bull,0.447,0.463,45.3,405.0,2
2014,6,Force India,0.084,0.649,31.0,155.0,6
2014,7,Marussia,0.0,0.767,30.7,2.0,9
2014,8,Toro Rosso,0.055,0.421,20.2,30.0,7
2014,9,Caterham,0.008,0.479,19.7,0.0,10
2014,10,Sauber,0.006,0.458,18.7,0.0,10
2014,11,Lotus F1,0.003,0.452,18.3,10.0,8
2015,1,Mercedes,1.0,0.947,97.9,703.0,1
2015,2,Ferrari,0.573,0.437,51.9,428.0,2
2015,3,Sauber,0.043,0.857,36.9,36.0,8
2015,4,Williams,0.357,0.346,35.3,257.0,3
2015,5,Force India,0.117,0.626,32.0,136.0,5
2015,6,Manor Marussia,0.0,0.792,31.7,0.0,10
2015,7,Red Bull,0.204,0.436,29.7,187.0,4
2015,8,McLaren,0.004,0.504,20.4,27.0,9
2015,9,Toro Rosso,0.077,0.197,12.5,67.0,7
2015,10,Lotus F1,0.083,0.0,5.0,78.0,6
2016,1,Mercedes,1.0,0.569,82.7,765.0,1
2016,2,Red Bull,0.544,0.824,65.6,468.0,2
2016,3,Ferrari,0.448,0.187,34.4,398.0,3
2016,4,Force India,0.15,0.579,32.2,173.0,4
2016,5,Williams,0.173,0.514,30.9,138.0,5
2016,6,Manor Marussia,0.001,0.687,27.6,1.0,11
2016,7,Sauber,0.01,0.481,19.8,2.0,10
2016,8,Renault,0.001,0.358,14.4,8.0,9
2016,9,Haas F1 Team,0.023,0.301,13.4,29.0,8
2016,10,Toro Rosso,0.054,0.178,10.4,63.0,7
2016,11,McLaren,0.047,0.151,8.9,76.0,6
2017,1,Mercedes,1.0,0.947,97.9,668.0,1
2017,2,Ferrari,0.77,0.556,68.5,522.0,2
2017,3,Force India,0.169,0.882,45.4,187.0,4
2017,4,Haas F1 Team,0.03,0.732,31.1,47.0,8
2017,5,Williams,0.058,0.656,29.7,83.0,5
2017,6,Sauber,0.0,0.706,28.2,5.0,10
2017,7,Red Bull,0.349,0.147,26.8,368.0,3
2017,8,Toro Rosso,0.037,0.539,23.8,53.0,7
2017,9,Renault,0.038,0.512,22.8,57.0,6
2017,10,McLaren,0.036,0.362,16.6,30.0,9
2018,1,Mercedes,1.0,0.793,91.7,655.0,1
2018,2,Ferrari,0.809,0.705,76.7,571.0,2
2018,3,Williams,0.0,0.833,33.3,7.0,10
2018,4,Renault,0.107,0.62,31.2,122.0,4
2018,5,Force India,0.091,0.515,26.0,111.0,5
2018,6,Haas F1 Team,0.086,0.502,25.2,93.0,6
2018,7,McLaren,0.032,0.435,19.3,62.0,7
2018,8,Red Bull,0.318,0.0,19.1,419.0,3
2018,9,Sauber,0.023,0.397,17.2,48.0,8
2018,10,Toro Rosso,0.017,0.242,10.7,33.0,9
2019,1,Mercedes,1.0,1.0,100.0,739.0,1
2019,2,Ferrari,0.754,0.348,59.2,504.0,2
2019,3,Red Bull,0.568,0.511,54.5,417.0,3
2019,4,Alfa Romeo,0.059,0.797,35.4,57.0,8
2019,5,Racing Point,0.061,0.697,31.5,73.0,7
2019,6,Toro Rosso,0.073,0.498,24.3,85.0,6
2019,7,Renault,0.096,0.419,22.5,91.0,5
2019,8,Haas F1 Team,0.055,0.363,17.8,28.0,9
2019,9,Williams,0.0,0.375,15.0,1.0,10
2019,10,McLaren,0.129,0.069,10.5,145.0,4
2020,1,Mercedes,1.0,0.984,99.4,573.0,1
2020,2,Renault,0.188,0.605,35.5,181.0,5
2020,3,McLaren,0.236,0.522,35.1,202.0,4
2020,4,Red Bull,0.457,0.167,34.1,319.0,2
2020,5,Alfa Romeo,0.009,0.833,33.9,8.0,8
2020,6,Ferrari,0.115,0.547,28.8,131.0,6
2020,7,AlphaTauri,0.072,0.583,27.6,107.0,7
2020,8,Racing Point,0.228,0.322,26.6,210.0,3
2020,9,Haas F1 Team,0.004,0.355,14.4,3.0,9
2020,10,Williams,0.0,0.299,12.0,0.0,10
2021,1,Mercedes,0.959,0.447,75.4,604.5,1
2021,2,Red Bull,0.906,0.278,65.5,578.5,2
2021,3,Ferrari,0.535,0.734,61.5,322.5,3
2021,4,McLaren,0.397,0.892,59.5,274.0,4
2021,5,Alpine F1 Team,0.122,0.683,34.6,155.0,5
2021,6,Alfa Romeo,0.046,0.703,30.9,13.0,9
2021,7,Haas F1 Team,0.0,0.611,24.4,0.0,10
2021,8,AlphaTauri,0.2,0.285,23.4,142.0,6
2021,9,Aston Martin,0.076,0.407,20.9,77.0,7
2021,10,Williams,0.032,0.303,14.1,23.0,8
2022,1,Red Bull,0.965,0.653,84.0,724.0,1
2022,2,Mercedes,0.796,0.839,81.3,495.0,3
2022,3,Ferrari,0.981,0.125,63.8,519.0,2
2022,4,McLaren,0.18,0.761,41.3,150.0,5
2022,5,Aston Martin,0.068,0.625,29.1,55.0,6
2022,6,Alpine F1 Team,0.194,0.406,27.9,170.0,4
2022,7,Haas F1 Team,0.057,0.494,23.2,33.0,9
2022,8,Williams,0.0,0.562,22.5,8.0,10
2022,9,Alfa Romeo,0.078,0.363,19.2,53.0,7
2022,10,AlphaTauri,0.045,0.399,18.7,35.0,8
2023,1,Red Bull,1.0,0.678,87.1,790.0,1
2023,2,Mercedes,0.687,0.278,52.4,374.0,2
2023,3,Ferrari,0.681,0.253,51.0,363.0,3
2023,4,McLaren,0.283,0.591,40.6,266.0,4
2023,5,AlphaTauri,0.009,0.833,33.9,22.0,8
2023,6,Aston Martin,0.289,0.294,29.1,266.0,4
2023,7,Alfa Romeo,0.0,0.568,22.7,16.0,9
2023,8,Haas F1 Team,0.013,0.54,22.4,9.0,10
2023,9,Williams,0.015,0.357,15.2,26.0,7
2023,10,Alpine F1 Team,0.072,0.259,14.7,110.0,6
2024,1,McLaren,0.902,0.787,85.6,609.0,1
2024,2,Ferrari,0.82,0.649,75.2,595.0,2
2024,3,Red Bull,0.942,0.377,71.6,537.0,3
2024,4,Mercedes,0.535,0.296,43.9,433.0,4
2024,5,Aston Martin,0.115,0.686,34.4,94.0,5
2024,6,Haas F1 Team,0.036,0.796,34.0,51.0,7
2024,7,Sauber,0.004,0.76,30.6,4.0,10
2024,8,RB F1 Team,0.042,0.543,24.3,40.0,8
2024,9,Alpine F1 Team,0.031,0.454,20.0,63.0,6
2024,10,Williams,0.002,0.3,12.1,17.0,9
