ds_id,season,round,driver_id,constructor_id,points,position,wins
1,2014,19,hamilton,mercedes,384.0,1,11
2,2014,19,rosberg,mercedes,317.0,2,5
3,2014,19,ricciardo,red_bull,238.0,3,3
4,2014,19,bottas,williams,186.0,4,0
5,2014,19,vettel,red_bull,167.0,5,0
6,2014,19,alonso,ferrari,161.0,6,0
7,2014,19,massa,williams,134.0,7,0
8,2014,19,button,mclaren,126.0,8,0
9,2014,19,hulkenberg,force_india,96.0,9,0
10,2014,19,perez,force_india,59.0,10,0
11,2014,19,kevin_magnussen,mclaren,55.0,11,0
12,2014,19,raikkonen,ferrari,55.0,12,0
13,2014,19,vergne,toro_rosso,22.0,13,0
14,2014,19,grosjean,lotus_f1,8.0,14,0
15,2014,19,kvyat,toro_rosso,8.0,15,0
16,2014,19,maldonado,lotus_f1,2.0,16,0
17,2014,19,jules_bianchi,marussia,2.0,17,0
18,2014,19,sutil,sauber,0.0,18,0
19,2014,19,ericsson,caterham,0.0,19,0
20,2014,19,gutierrez,sauber,0.0,20,0
21,2014,19,chilton,marussia,0.0,21,0
22,2014,19,kobayashi,caterham,0.0,22,0
23,2014,19,stevens,caterham,0.0,23,0
24,2014,19,lotterer,caterham,0.0,0,0
25,2015,19,hamilton,mercedes,381.0,1,10
26,2015,19,rosberg,mercedes,322.0,2,6
27,2015,19,vettel,ferrari,278.0,3,3
28,2015,19,raikkonen,ferrari,150.0,4,0
29,2015,19,bottas,williams,136.0,5,0
30,2015,19,massa,williams,121.0,6,0
31,2015,19,kvyat,red_bull,95.0,7,0
32,2015,19,ricciardo,red_bull,92.0,8,0
33,2015,19,perez,force_india,78.0,9,0
34,2015,19,hulkenberg,force_india,58.0,10,0
35,2015,19,grosjean,lotus_f1,51.0,11,0
36,2015,19,max_verstappen,toro_rosso,49.0,12,0
37,2015,19,nasr,sauber,27.0,13,0
38,2015,19,maldonado,lotus_f1,27.0,14,0
39,2015,19,sainz,toro_rosso,18.0,15,0
40,2015,19,button,mclaren,16.0,16,0
41,2015,19,alonso,mclaren,11.0,17,0
42,2015,19,ericsson,sauber,9.0,18,0
43,2015,19,merhi,manor,0.0,19,0
44,2015,19,rossi,manor,0.0,20,0
45,2015,19,stevens,manor,0.0,21,0
46,2015,19,kevin_magnussen,mclaren,0.0,0,0
47,2016,21,rosberg,mercedes,385.0,1,9
48,2016,21,hamilton,mercedes,380.0,2,10
49,2016,21,ricciardo,red_bull,256.0,3,1
50,2016,21,vettel,ferrari,212.0,4,0
51,2016,21,max_verstappen,toro_rosso,204.0,5,1
52,2016,21,raikkonen,ferrari,186.0,6,0
53,2016,21,perez,force_india,101.0,7,0
54,2016,21,bottas,williams,85.0,8,0
55,2016,21,hulkenberg,force_india,72.0,9,0
56,2016,21,alonso,mclaren,54.0,10,0
57,2016,21,massa,williams,53.0,11,0
58,2016,21,sainz,toro_rosso,46.0,12,0
59,2016,21,grosjean,haas,29.0,13,0
60,2016,21,kvyat,red_bull,25.0,14,0
61,2016,21,button,mclaren,21.0,15,0
62,2016,21,kevin_magnussen,renault,7.0,16,0
63,2016,21,nasr,sauber,2.0,17,0
64,2016,21,jolyon_palmer,renault,1.0,18,0
65,2016,21,wehrlein,manor,1.0,19,0
66,2016,21,vandoorne,mclaren,1.0,20,0
67,2016,21,gutierrez,haas,0.0,21,0
68,2016,21,ericsson,sauber,0.0,22,0
69,2016,21,ocon,manor,0.0,23,0
70,2016,21,haryanto,manor,0.0,24,0
71,2017,20,hamilton,mercedes,363.0,1,9
72,2017,20,vettel,ferrari,317.0,2,5
73,2017,20,bottas,mercedes,305.0,3,3
74,2017,20,raikkonen,ferrari,205.0,4,0
75,2017,20,ricciardo,red_bull,200.0,5,1
76,2017,20,max_verstappen,red_bull,168.0,6,2
77,2017,20,perez,force_india,100.0,7,0
78,2017,20,ocon,force_india,87.0,8,0
79,2017,20,sainz,toro_rosso,54.0,9,0
80,2017,20,hulkenberg,renault,43.0,10,0
81,2017,20,massa,williams,43.0,11,0
82,2017,20,stroll,williams,40.0,12,0
83,2017,20,grosjean,haas,28.0,13,0
84,2017,20,kevin_magnussen,haas,19.0,14,0
85,2017,20,alonso,mclaren,17.0,15,0
86,2017,20,vandoorne,mclaren,13.0,16,0
87,2017,20,jolyon_palmer,renault,8.0,17,0
88,2017,20,wehrlein,sauber,5.0,18,0
89,2017,20,kvyat,toro_rosso,5.0,19,0
90,2017,20,ericsson,sauber,0.0,20,0
91,2017,20,gasly,toro_rosso,0.0,21,0
92,2017,20,giovinazzi,sauber,0.0,22,0
93,2017,20,brendon_hartley,toro_rosso,0.0,23,0
94,2017,20,button,mclaren,0.0,0,0
95,2017,20,resta,williams,0.0,0,0
96,2018,21,hamilton,mercedes,408.0,1,11
97,2018,21,vettel,ferrari,320.0,2,5
98,2018,21,raikkonen,ferrari,251.0,3,1
99,2018,21,max_verstappen,red_bull,249.0,4,2
100,2018,21,bottas,mercedes,247.0,5,0
101,2018,21,ricciardo,red_bull,170.0,6,2
102,2018,21,hulkenberg,renault,69.0,7,0
103,2018,21,perez,force_india,62.0,8,0
104,2018,21,kevin_magnussen,haas,56.0,9,0
105,2018,21,sainz,renault,53.0,10,0
106,2018,21,alonso,mclaren,50.0,11,0
107,2018,21,ocon,force_india,49.0,12,0
108,2018,21,leclerc,sauber,39.0,13,0
109,2018,21,grosjean,haas,37.0,14,0
110,2018,21,gasly,toro_rosso,29.0,15,0
111,2018,21,vandoorne,mclaren,12.0,16,0
112,2018,21,ericsson,sauber,9.0,17,0
113,2018,21,stroll,williams,6.0,18,0
114,2018,21,brendon_hartley,toro_rosso,4.0,19,0
115,2018,21,sirotkin,williams,1.0,20,0
116,2019,21,hamilton,mercedes,413.0,1,11
117,2019,21,bottas,mercedes,326.0,2,4
118,2019,21,max_verstappen,red_bull,278.0,3,3
119,2019,21,leclerc,ferrari,264.0,4,2
120,2019,21,vettel,ferrari,240.0,5,1
121,2019,21,sainz,mclaren,96.0,6,0
122,2019,21,gasly,red_bull,95.0,7,0
123,2019,21,albon,toro_rosso,92.0,8,0
124,2019,21,ricciardo,renault,54.0,9,0
125,2019,21,perez,racing_point,52.0,10,0
126,2019,21,norris,mclaren,49.0,11,0
127,2019,21,raikkonen,alfa,43.0,12,0
128,2019,21,kvyat,toro_rosso,37.0,13,0
129,2019,21,hulkenberg,renault,37.0,14,0
130,2019,21,stroll,racing_point,21.0,15,0
131,2019,21,kevin_magnussen,haas,20.0,16,0
132,2019,21,giovinazzi,alfa,14.0,17,0
133,2019,21,grosjean,haas,8.0,18,0
134,2019,21,kubica,williams,1.0,19,0
135,2019,21,russell,williams,0.0,20,0
136,2020,17,hamilton,mercedes,347.0,1,11
137,2020,17,bottas,mercedes,223.0,2,2
138,2020,17,max_verstappen,red_bull,214.0,3,2
