qual_id,race_id,season,round,driver_id,constructor_id,q1,q2,q3,position,q1_sec,q2_sec,q3_sec,best_qual_sec,pole_sec,gap_to_pole_sec
1,1,2014,1,hamilton,mercedes,1:31.699,1:42.890,1:44.231,1,91.699,102.89,104.231,91.699,91.699,0.0
2,1,2014,1,ricciardo,red_bull,1:30.775,1:42.295,1:44.548,2,90.775,102.295,104.548,90.775,91.699,-0.9239999999999924
3,1,2014,1,rosberg,mercedes,1:32.564,1:42.264,1:44.595,3,92.564,102.26400000000001,104.595,92.564,91.699,0.8649999999999949
4,1,2014,1,kevin_magnussen,mclaren,1:30.949,1:43.247,1:45.745,4,90.949,103.247,105.745,90.949,91.699,-0.75
5,1,2014,1,alonso,ferrari,1:31.388,1:42.805,1:45.819,5,91.388,102.805,105.819,91.388,91.699,-0.31099999999999284
6,1,2014,1,vergne,toro_rosso,1:33.488,1:43.849,1:45.864,6,93.488,103.84899999999999,105.864,93.488,91.699,1.7890000000000015
7,1,2014,1,hulkenberg,force_india,1:33.893,1:43.658,1:46.030,7,93.893,103.658,106.03,93.893,91.699,2.1940000000000026
8,1,2014,1,kvyat,toro_rosso,1:33.777,1:44.331,1:47.368,8,93.777,104.331,107.368,93.777,91.699,2.078000000000003
9,1,2014,1,massa,williams,1:31.228,1:44.242,1:48.079,9,91.22800000000001,104.24199999999999,108.07900000000001,91.22800000000001,91.699,-0.4709999999999894
10,1,2014,1,bottas,williams,1:31.601,1:43.852,1:48.147,10,91.601,103.852,108.14699999999999,91.601,91.699,-0.09799999999999898
11,1,2014,1,button,mclaren,1:31.396,1:44.437,,11,91.396,104.437,,91.396,91.699,-0.30299999999999727
12,1,2014,1,raikkonen,ferrari,1:32.439,1:44.494,,12,92.439,104.494,,92.439,91.699,0.7399999999999949
13,1,2014,1,vettel,red_bull,1:31.931,1:44.688,,13,91.931,104.688,,91.931,91.699,0.23199999999999932
14,1,2014,1,sutil,sauber,1:33.673,1:45.655,,14,93.673,105.655,,93.673,91.699,1.9740000000000038
15,1,2014,1,kobayashi,caterham,1:34.274,1:45.867,,15,94.274,105.86699999999999,,94.274,91.699,2.575000000000003
16,1,2014,1,perez,force_india,1:34.141,1:47.293,,16,94.14099999999999,107.293,,94.14099999999999,91.699,2.441999999999993
17,1,2014,1,chilton,marussia,1:34.293,,,17,94.293,,,94.293,91.699,2.5940000000000083
18,1,2014,1,jules_bianchi,marussia,1:34.794,,,18,94.794,,,94.794,91.699,3.094999999999999
19,1,2014,1,gutierrez,sauber,1:35.117,,,19,95.11699999999999,,,95.11699999999999,91.699,3.417999999999992
20,1,2014,1,ericsson,caterham,1:35.157,,,20,95.157,,,95.157,91.699,3.4579999999999984
21,1,2014,1,grosjean,lotus_f1,1:36.993,,,21,96.993,,,96.993,91.699,5.293999999999997
22,1,2014,1,maldonado,lotus_f1,,,,22,,,,,91.699,
23,2,2014,2,hamilton,mercedes,1:57.202,1:59.041,1:59.431,1,117.202,119.041,119.431,117.202,117.202,0.0
24,2,2014,2,vettel,red_bull,1:57.654,1:59.399,1:59.486,2,117.654,119.399,119.48599999999999,117.654,117.202,0.4519999999999982
25,2,2014,2,rosberg,mercedes,1:57.183,1:59.445,2:00.050,3,117.18299999999999,119.445,120.05,117.18299999999999,117.202,-0.019000000000005457
26,2,2014,2,alonso,ferrari,1:58.889,2:01.356,2:00.175,4,118.88900000000001,121.356,120.175,118.88900000000001,117.202,1.6870000000000118
27,2,2014,2,ricciardo,red_bull,1:58.913,2:00.147,2:00.541,5,118.913,120.147,120.541,118.913,117.202,1.7109999999999985
28,2,2014,2,raikkonen,ferrari,1:59.257,2:01.532,2:01.218,6,119.257,121.532,121.218,119.257,117.202,2.055000000000007
29,2,2014,2,hulkenberg,force_india,1:58.883,2:00.839,2:01.712,7,118.88300000000001,120.839,121.712,118.88300000000001,117.202,1.6810000000000116
30,2,2014,2,kevin_magnussen,mclaren,2:00.356,2:02.094,2:02.213,8,120.356,122.094,122.213,120.356,117.202,3.1539999999999964
31,2,2014,2,vergne,toro_rosso,2:01.689,2:02.096,2:03.078,9,121.689,122.096,123.078,121.689,117.202,4.486999999999995
32,2,2014,2,button,mclaren,2:00.889,2:01.810,2:04.053,10,120.889,121.81,124.053,120.889,117.202,3.6869999999999976
33,2,2014,2,kvyat,toro_rosso,2:01.175,2:02.351,,11,121.175,122.351,,121.175,117.202,3.972999999999999
34,2,2014,2,gutierrez,sauber,2:01.134,2:02.369,,12,121.134,122.369,,121.134,117.202,3.932000000000002
35,2,2014,2,massa,williams,2:00.047,2:02.460,,13,120.047,122.46,,120.047,117.202,2.844999999999999
36,2,2014,2,perez,force_india,2:00.076,2:02.511,,14,120.076,122.511,,120.076,117.202,2.8739999999999952
37,2,2014,2,bottas,williams,1:59.709,2:02.756,,15,119.709,122.756,,119.709,117.202,2.507000000000005
38,2,2014,2,grosjean,lotus_f1,2:00.202,2:02.885,,16,120.202,122.885,,120.202,117.202,3.0
39,2,2014,2,maldonado,lotus_f1,2:02.074,,,17,122.074,,,122.074,117.202,4.872
40,2,2014,2,sutil,sauber,2:02.131,,,18,122.131,,,122.131,117.202,4.929000000000002
41,2,2014,2,jules_bianchi,marussia,2:02.702,,,19,122.702,,,122.702,117.202,5.5
42,2,2014,2,kobayashi,caterham,2:03.595,,,20,123.595,,,123.595,117.202,6.393000000000001
