qual_id,race_id,season,round,driver_id,constructor_id,q1,q2,q3,position
1,1,2014,1,hamilton,mercedes,1:31.699,1:42.890,1:44.231,1
2,1,2014,1,ricciardo,red_bull,1:30.775,1:42.295,1:44.548,2
3,1,2014,1,rosberg,mercedes,1:32.564,1:42.264,1:44.595,3
4,1,2014,1,kevin_magnussen,mclaren,1:30.949,1:43.247,1:45.745,4
5,1,2014,1,alonso,ferrari,1:31.388,1:42.805,1:45.819,5
6,1,2014,1,vergne,toro_rosso,1:33.488,1:43.849,1:45.864,6
7,1,2014,1,hulkenberg,force_india,1:33.893,1:43.658,1:46.030,7
8,1,2014,1,kvyat,toro_rosso,1:33.777,1:44.331,1:47.368,8
9,1,2014,1,massa,williams,1:31.228,1:44.242,1:48.079,9
10,1,2014,1,bottas,williams,1:31.601,1:43.852,1:48.147,10
11,1,2014,1,button,mclaren,1:31.396,1:44.437,,11
12,1,2014,1,raikkonen,ferrari,1:32.439,1:44.494,,12
13,1,2014,1,vettel,red_bull,1:31.931,1:44.688,,13
14,1,2014,1,sutil,sauber,1:33.673,1:45.655,,14
15,1,2014,1,kobayashi,caterham,1:34.274,1:45.867,,15
16,1,2014,1,perez,force_india,1:34.141,1:47.293,,16
17,1,2014,1,chilton,marussia,1:34.293,,,17
18,1,2014,1,jules_bianchi,marussia,1:34.794,,,18
19,1,2014,1,gutierrez,sauber,1:35.117,,,19
20,1,2014,1,ericsson,caterham,1:35.157,,,20
21,1,2014,1,grosjean,lotus_f1,1:36.993,,,21
22,1,2014,1,maldonado,lotus_f1,,,,22
23,2,2014,2,hamilton,mercedes,1:57.202,1:59.041,1:59.431,1
24,2,2014,2,vettel,red_bull,1:57.654,1:59.399,1:59.486,2
25,2,2014,2,rosberg,mercedes,1:57.183,1:59.445,2:00.050,3
26,2,2014,2,alonso,ferrari,1:58.889,2:01.356,2:00.175,4
27,2,2014,2,ricciardo,red_bull,1:58.913,2:00.147,2:00.541,5
28,2,2014,2,raikkonen,ferrari,1:59.257,2:01.532,2:01.218,6
29,2,2014,2,hulkenberg,force_india,1:58.883,2:00.839,2:01.712,7
30,2,2014,2,kevin_magnussen,mclaren,2:00.356,2:02.094,2:02.213,8
31,2,2014,2,vergne,toro_rosso,2:01.689,2:02.096,2:03.078,9
32,2,2014,2,button,mclaren,2:00.889,2:01.810,2:04.053,10
33,2,2014,2,kvyat,toro_rosso,2:01.175,2:02.351,,11
34,2,2014,2,gutierrez,sauber,2:01.134,2:02.369,,12
35,2,2014,2,massa,williams,2:00.047,2:02.460,,13
36,2,2014,2,perez,force_india,2:00.076,2:02.511,,14
37,2,2014,2,bottas,williams,1:59.709,2:02.756,,15
38,2,2014,2,grosjean,lotus_f1,2:00.202,2:02.885,,16
39,2,2014,2,maldonado,lotus_f1,2:02.074,,,17
40,2,2014,2,sutil,sauber,2:02.131,,,18
41,2,2014,2,jules_bianchi,marussia,2:02.702,,,19
42,2,2014,2,kobayashi,caterham,2:03.595,,,20
43,2,2014,2,chilton,marussia,2:04.388,,,21
44,2,2014,2,ericsson,caterham,2:04.407,,,22
45,3,2014,3,rosberg,mercedes,1:35.439,1:33.708,1:33.185,1
46,3,2014,3,hamilton,mercedes,1:35.323,1:33.872,1:33.464,2
47,3,2014,3,ricciardo,red_bull,1:36.220,1:34.592,1:34.051,3
48,3,2014,3,bottas,williams,1:34.934,1:34.842,1:34.247,4
49,3,2014,3,perez,force_india,1:34.998,1:34.747,1:34.346,5
50,3,2014,3,raikkonen,ferrari,1:35.234,1:34.925,1:34.368,6
51,3,2014,3,button,mclaren,1:35.699,1:34.714,1:34.387,7
52,3,2014,3,massa,williams,1:35.085,1:34.842,1:34.511,8
53,3,2014,3,kevin_magnussen,mclaren,1:35.288,1:34.904,1:34.712,9
54,3,2014,3,alonso,ferrari,1:35.251,1:34.723,1:34.992,10
55,3,2014,3,vettel,red_bull,1:35.549,1:34.985,,11
56,3,2014,3,hulkenberg,force_india,1:34.874,1:35.116,,12
57,3,2014,3,kvyat,toro_rosso,1:35.395,1:35.145,,13
58,3,2014,3,vergne,toro_rosso,1:35.815,1:35.286,,14
59,3,2014,3,gutierrez,sauber,1:36.567,1:35.891,,15
60,3,2014,3,grosjean,lotus_f1,1:36.654,1:35.908,,16
61,3,2014,3,maldonado,lotus_f1,1:36.663,,,17
62,3,2014,3,sutil,sauber,1:36.840,,,18
63,3,2014,3,kobayashi,caterham,1:37.085,,,19
64,3,2014,3,jules_bianchi,marussia,1:37.310,,,20
65,3,2014,3,ericsson,caterham,1:37.875,,,21
66,3,2014,3,chilton,marussia,1:37.913,,,22
67,4,2014,4,hamilton,mercedes,1:55.516,1:54.029,1:53.860,1
68,4,2014,4,ricciardo,red_bull,1:56.641,1:55.302,1:54.455,2
69,4,2014,4,vettel,red_bull,1:55.926,1:54.499,1:54.960,3
70,4,2014,4,rosberg,mercedes,1:56.058,1:55.294,1:55.143,4
71,4,2014,4,alonso,ferrari,1:56.961,1:55.765,1:55.637,5
72,4,2014,4,massa,williams,1:56.850,1:56.757,1:56.147,6
73,4,2014,4,bottas,williams,1:56.501,1:56.253,1:56.282,7
74,4,2014,4,hulkenberg,force_india,1:55.913,1:56.847,1:56.366,8
75,4,2014,4,vergne,toro_rosso,1:57.477,1:56.584,1:56.773,9
76,4,2014,4,grosjean,lotus_f1,1:58.411,1:56.407,1:57.079,10
77,4,2014,4,raikkonen,ferrari,1:58.279,1:56.860,,11
78,4,2014,4,button,mclaren,1:57.783,1:56.963,,12
79,4,2014,4,kvyat,toro_rosso,1:57.261,1:57.289,,13
80,4,2014,4,sutil,sauber,1:58.138,1:57.393,,14
81,4,2014,4,kevin_magnussen,mclaren,1:57.369,1:57.675,,15
82,4,2014,4,perez,force_india,1:58.362,1:58.264,,16
83,4,2014,4,gutierrez,sauber,1:58.988,,,17
84,4,2014,4,kobayashi,caterham,1:59.260,,,18
85,4,2014,4,jules_bianchi,marussia,1:59.326,,,19
86,4,2014,4,ericsson,caterham,2:00.646,,,20
87,4,2014,4,chilton,marussia,2:00.865,,,21
88,4,2014,4,maldonado,lotus_f1,,,,22
89,5,2014,5,hamilton,mercedes,1:27.238,1:26.210,1:25.232,1
90,5,2014,5,rosberg,mercedes,1:26.764,1:26.088,1:25.400,2
91,5,2014,5,ricciardo,red_bull,1:28.053,1:26.613,1:26.285,3
92,5,2014,5,bottas,williams,1:28.198,1:27.563,1:26.632,4
93,5,2014,5,grosjean,lotus_f1,1:28.472,1:27.258,1:26.960,5
94,5,2014,5,raikkonen,ferrari,1:28.308,1:27.335,1:27.104,6
95,5,2014,5,alonso,ferrari,1:28.329,1:27.602,1:27.140,7
96,5,2014,5,button,mclaren,1:28.279,1:27.570,1:27.335,8
97,5,2014,5,massa,williams,1:28.061,1:27.016,1:27.402,9
98,5,2014,5,vettel,red_bull,1:27.958,1:27.052,,10
99,5,2014,5,hulkenberg,force_india,1:28.155,1:27.685,,11
100,5,2014,5,perez,force_india,1:28.469,1:28.002,,12
101,5,2014,5,kvyat,toro_rosso,1:28.074,1:28.039,,13
102,5,2014,5,gutierrez,sauber,1:28.374,1:28.280,,14
103,5,2014,5,kevin_magnussen,mclaren,1:28.389,,,15
104,5,2014,5,vergne,toro_rosso,1:28.194,,,16
105,5,2014,5,sutil,sauber,1:28.563,,,17
106,5,2014,5,chilton,marussia,1:29.586,,,18
107,5,2014,5,jules_bianchi,marussia,1:30.177,,,19
108,5,2014,5,ericsson,caterham,1:30.312,,,20
109,5,2014,5,kobayashi,caterham,1:30.375,,,21
110,5,2014,5,maldonado,lotus_f1,,,,22
111,7,2014,6,rosberg,mercedes,1:17.678,1:16.465,1:15.989,1
112,7,2014,6,hamilton,mercedes,1:17.823,1:16.354,1:16.048,2
113,7,2014,6,ricciardo,red_bull,1:17.900,1:17.233,1:16.384,3
114,7,2014,6,vettel,red_bull,1:18.383,1:17.074,1:16.547,4
115,7,2014,6,alonso,ferrari,1:17.853,1:17.200,1:16.686,5
116,7,2014,6,raikkonen,ferrari,1:17.902,1:17.398,1:17.389,6
117,7,2014,6,vergne,toro_rosso,1:17.557,1:17.657,1:17.540,7
118,7,2014,6,kevin_magnussen,mclaren,1:17.978,1:17.609,1:17.555,8
119,7,2014,6,kvyat,toro_rosso,1:18.616,1:17.594,1:18.090,9
120,7,2014,6,perez,force_india,1:18.108,1:17.755,1:18.327,10
121,7,2014,6,hulkenberg,force_india,1:18.432,1:17.846,,11
122,7,2014,6,button,mclaren,1:17.890,1:17.988,,12
123,7,2014,6,bottas,williams,1:18.407,1:18.082,,13
124,7,2014,6,grosjean,lotus_f1,1:18.335,1:18.196,,14
125,7,2014,6,maldonado,lotus_f1,1:18.585,1:18.356,,15
126,7,2014,6,massa,williams,1:18.209,,,16
127,7,2014,6,gutierrez,sauber,1:18.741,,,17
128,7,2014,6,sutil,sauber,1:18.745,,,18
129,7,2014,6,jules_bianchi,marussia,1:19.332,,,19
130,7,2014,6,chilton,marussia,1:19.928,,,20
131,7,2014,6,kobayashi,caterham,1:20.133,,,21
132,7,2014,6,ericsson,caterham,1:21.732,,,22
133,8,2014,7,rosberg,mercedes,1:16.471,1:15.289,1:14.874,1
134,8,2014,7,hamilton,mercedes,1:15.750,1:15.054,1:14.953,2
135,8,2014,7,vettel,red_bull,1:17.470,1:16.109,1:15.548,3
136,8,2014,7,bottas,williams,1:16.772,1:15.806,1:15.550,4
137,8,2014,7,massa,williams,1:16.666,1:15.773,1:15.578,5
138,8,2014,7,ricciardo,red_bull,1:17.113,1:15.897,1:15.589,6
139,8,2014,7,alonso,ferrari,1:17.010,1:16.131,1:15.814,7
140,8,2014,7,vergne,toro_rosso,1:17.178,1:16.255,1:16.162,8
141,8,2014,7,button,mclaren,1:16.631,1:16.214,1:16.182,9
142,8,2014,7,raikkonen,ferrari,1:17.013,1:16.245,1:16.214,10
143,8,2014,7,hulkenberg,force_india,1:16.897,1:16.300,,11
144,8,2014,7,kevin_magnussen,mclaren,1:16.446,1:16.310,,12
145,8,2014,7,perez,force_india,1:18.235,1:16.472,,13
146,8,2014,7,grosjean,lotus_f1,1:17.732,1:16.687,,14
147,8,2014,7,kvyat,toro_rosso,1:16.938,1:16.713,,15
148,8,2014,7,sutil,sauber,1:17.519,1:17.314,,16
149,8,2014,7,maldonado,lotus_f1,1:18.328,,,17
150,8,2014,7,chilton,marussia,1:18.348,,,18
151,8,2014,7,jules_bianchi,marussia,1:18.359,,,19
152,8,2014,7,kobayashi,caterham,1:19.278,,,20
153,8,2014,7,ericsson,caterham,1:19.820,,,21
154,8,2014,7,gutierrez,sauber,,,,22
155,9,2014,8,massa,williams,1:10.292,1:09.239,1:08.759,1
156,9,2014,8,bottas,williams,1:10.356,1:09.096,1:08.846,2
157,9,2014,8,rosberg,mercedes,1:09.695,1:08.974,1:08.944,3
158,9,2014,8,alonso,ferrari,1:10.405,1:09.479,1:09.285,4
159,9,2014,8,ricciardo,red_bull,1:10.395,1:09.638,1:09.466,5
160,9,2014,8,kevin_magnussen,mclaren,1:10.081,1:09.473,1:09.515,6
161,9,2014,8,kvyat,toro_rosso,1:09.678,1:09.490,1:09.619,7
162,9,2014,8,raikkonen,ferrari,1:10.285,1:09.657,1:10.795,8
163,9,2014,8,hamilton,mercedes,1:09.514,1:09.092,,9
164,9,2014,8,hulkenberg,force_india,1:10.389,1:09.624,,10
165,9,2014,8,perez,force_india,1:10.124,1:09.754,,11
166,9,2014,8,button,mclaren,1:10.252,1:09.780,,12
167,9,2014,8,vettel,red_bull,1:10.630,1:09.801,,13
168,9,2014,8,maldonado,lotus_f1,1:10.821,1:09.939,,14
169,9,2014,8,vergne,toro_rosso,1:10.161,1:10.073,,15
170,9,2014,8,grosjean,lotus_f1,1:10.461,1:10.642,,16
171,9,2014,8,sutil,sauber,1:10.825,,,17
172,9,2014,8,gutierrez,sauber,1:11.349,,,18
173,9,2014,8,jules_bianchi,marussia,1:11.412,,,19
174,9,2014,8,kobayashi,caterham,1:11.673,,,20
175,9,2014,8,chilton,marussia,1:11.775,,,21
176,9,2014,8,ericsson,caterham,1:12.673,,,22
177,10,2014,9,rosberg,mercedes,1:40.380,1:35.179,1:35.766,1
178,10,2014,9,vettel,red_bull,1:45.086,1:36.410,1:37.386,2
179,10,2014,9,button,mclaren,1:44.425,1:36.579,1:38.200,3
180,10,2014,9,hulkenberg,force_india,1:41.271,1:37.112,1:38.329,4
181,10,2014,9,kevin_magnussen,mclaren,1:42.507,1:37.370,1:38.417,5
182,10,2014,9,hamilton,mercedes,1:41.058,1:34.870,1:39.232,6
183,10,2014,9,perez,force_india,1:42.146,1:37.350,1:40.457,7
184,10,2014,9,ricciardo,red_bull,1:44.710,1:38.166,1:40.606,8
