race_id,season,round,race_name,circuit_id,circuit_name,country,locality,date
1,2014,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,Melbourne,2014-03-16
2,2014,2,Malaysian Grand Prix,sepang,Sepang International Circuit,Malaysia,Kuala Lumpur,2014-03-30
3,2014,3,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Bahrain,Sakhir,2014-04-06
4,2014,4,Chinese Grand Prix,shanghai,Shanghai International Circuit,China,Shanghai,2014-04-20
5,2014,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Spain,Barcelona,2014-05-11
7,2014,6,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,Monte Carlo,2014-05-25
8,2014,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Canada,Montreal,2014-06-08
9,2014,8,Austrian Grand Prix,red_bull_ring,Red Bull Ring,Austria,Spielberg,2014-06-22
10,2014,9,British Grand Prix,silverstone,Silverstone Circuit,UK,Silverstone,2014-07-06
11,2014,10,German Grand Prix,hockenheimring,Hockenheimring,Germany,Hockenheim,2014-07-20
13,2014,11,Hungarian Grand Prix,hungaroring,Hungaroring,Hungary,Budapest,2014-07-27
14,2014,12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Belgium,Spa,2014-08-24
15,2014,13,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,Monza,2014-09-07
16,2014,14,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,Singapore,Marina Bay,2014-09-21
18,2014,15,Japanese Grand Prix,suzuka,Suzuka Circuit,Japan,Suzuka,2014-10-05
19,2014,16,Russian Grand Prix,sochi,Sochi Autodrom,Russia,Sochi,2014-10-12
20,2014,17,United States Grand Prix,americas,Circuit of the Americas,USA,Austin,2014-11-02
21,2014,18,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,Brazil,São Paulo,2014-11-09
22,2014,19,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,UAE,Abu Dhabi,2014-11-23
24,2015,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,Melbourne,2015-03-15
25,2015,2,Malaysian Grand Prix,sepang,Sepang International Circuit,Malaysia,Kuala Lumpur,2015-03-29
26,2015,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,China,Shanghai,2015-04-12
