result_id,race_id,season,round,driver_id,constructor_id,grid,position,position_text,position_order,points,laps,status,fastest_lap_rank
1,1,2014,1,rosberg,mercedes,3,1,1,0,25.0,57,Finished,1.0
2,1,2014,1,kevin_magnussen,mclaren,4,2,2,0,18.0,57,Finished,6.0
3,1,2014,1,button,mclaren,10,3,3,0,15.0,57,Finished,5.0
4,1,2014,1,alonso,ferrari,5,4,4,0,12.0,57,Finished,7.0
5,1,2014,1,bottas,williams,15,5,5,0,10.0,57,Finished,3.0
6,1,2014,1,hulkenberg,force_india,7,6,6,0,8.0,57,Finished,2.0
7,1,2014,1,raikkonen,ferrari,11,7,7,0,6.0,57,Finished,8.0
8,1,2014,1,vergne,toro_rosso,6,8,8,0,4.0,57,Finished,10.0
9,1,2014,1,kvyat,toro_rosso,8,9,9,0,2.0,57,Finished,11.0
10,1,2014,1,perez,force_india,16,10,10,0,1.0,57,Finished,4.0
11,1,2014,1,sutil,sauber,13,11,11,0,0.0,56,+1 Lap,9.0
12,1,2014,1,gutierrez,sauber,20,12,12,0,0.0,56,+1 Lap,13.0
13,1,2014,1,chilton,marussia,17,13,13,0,0.0,55,+2 Laps,12.0
14,1,2014,1,jules_bianchi,marussia,18,14,R,0,0.0,49,+8 Laps,16.0
15,1,2014,1,grosjean,lotus_f1,22,15,R,0,0.0,43,ERS,15.0
16,1,2014,1,maldonado,lotus_f1,21,16,R,0,0.0,29,ERS,14.0
17,1,2014,1,ericsson,caterham,19,17,R,0,0.0,27,Oil pressure,18.0
18,1,2014,1,vettel,red_bull,12,18,R,0,0.0,3,Engine,17.0
19,1,2014,1,hamilton,mercedes,1,19,R,0,0.0,2,Engine,20.0
20,1,2014,1,massa,williams,9,20,R,0,0.0,0,Collision,19.0
21,1,2014,1,kobayashi,caterham,14,21,R,0,0.0,0,Collision,
22,1,2014,1,ricciardo,red_bull,2,22,D,0,0.0,57,Disqualified,
23,2,2014,2,hamilton,mercedes,1,1,1,0,25.0,56,Finished,1.0
24,2,2014,2,rosberg,mercedes,3,2,2,0,18.0,56,Finished,2.0
25,2,2014,2,vettel,red_bull,2,3,3,0,15.0,56,Finished,4.0
26,2,2014,2,alonso,ferrari,4,4,4,0,12.0,56,Finished,3.0
27,2,2014,2,hulkenberg,force_india,7,5,5,0,10.0,56,Finished,10.0
28,2,2014,2,button,mclaren,10,6,6,0,8.0,56,Finished,11.0
29,2,2014,2,massa,williams,13,7,7,0,6.0,56,Finished,6.0
30,2,2014,2,bottas,williams,18,8,8,0,4.0,56,Finished,9.0
31,2,2014,2,kevin_magnussen,mclaren,8,9,9,0,2.0,55,+1 Lap,8.0
32,2,2014,2,kvyat,toro_rosso,11,10,10,0,1.0,55,+1 Lap,13.0
33,2,2014,2,grosjean,lotus_f1,15,11,11,0,0.0,55,+1 Lap,12.0
34,2,2014,2,raikkonen,ferrari,6,12,12,0,0.0,55,+1 Lap,7.0
35,2,2014,2,kobayashi,caterham,20,13,13,0,0.0,55,+1 Lap,15.0
36,2,2014,2,ericsson,caterham,22,14,14,0,0.0,54,+2 Laps,14.0
37,2,2014,2,chilton,marussia,21,15,15,0,0.0,54,+2 Laps,18.0
38,2,2014,2,ricciardo,red_bull,5,16,R,0,0.0,49,Technical,5.0
39,2,2014,2,gutierrez,sauber,12,17,R,0,0.0,35,Gearbox,16.0
40,2,2014,2,sutil,sauber,17,18,R,0,0.0,32,Electrical,17.0
41,2,2014,2,vergne,toro_rosso,9,19,R,0,0.0,18,Power Unit,19.0
42,2,2014,2,jules_bianchi,marussia,19,20,R,0,0.0,8,Brakes,21.0
43,2,2014,2,maldonado,lotus_f1,16,21,R,0,0.0,7,Engine,20.0
44,2,2014,2,perez,force_india,14,22,W,0,0.0,0,Withdrew,
45,3,2014,3,hamilton,mercedes,2,1,1,0,25.0,57,Finished,2.0
46,3,2014,3,rosberg,mercedes,1,2,2,0,18.0,57,Finished,1.0
47,3,2014,3,perez,force_india,4,3,3,0,15.0,57,Finished,7.0
48,3,2014,3,ricciardo,red_bull,13,4,4,0,12.0,57,Finished,4.0
49,3,2014,3,hulkenberg,force_india,11,5,5,0,10.0,57,Finished,3.0
50,3,2014,3,vettel,red_bull,10,6,6,0,8.0,57,Finished,6.0
51,3,2014,3,massa,williams,7,7,7,0,6.0,57,Finished,5.0
52,3,2014,3,bottas,williams,3,8,8,0,4.0,57,Finished,13.0
