season,constructor_id,total_points,total_wins,total_podiums,total_dnfs,races_entered,avg_grid,avg_finish_pos,finish_rate,points_scoring_rate,season_rank,official_wins,name,nationality,total_points_norm,total_wins_norm,total_podiums_norm,avg_gap_to_pole,avg_qual_pos,q3_appearances
2014,mercedes,701.0,16,31,5,19,2.9473684210526314,0.0,1.0,0.8421052631578947,1,16,Mercedes,German,1.0,1.0,1.0,0.18472972972972995,2.8157894736842106,35
2014,red_bull,405.0,3,12,3,19,7.026315789473684,0.0,1.0,0.8421052631578947,2,3,Red Bull,Austrian,0.5777460770328102,0.1875,0.3870967741935484,1.123777777777777,6.027777777777778,30
2014,williams,320.0,0,9,5,19,6.842105263157895,0.0,1.0,0.7368421052631579,3,0,Williams,British,0.456490727532097,0.0,0.2903225806451613,1.6378421052631587,6.842105263157895,31
2014,ferrari,216.0,0,2,2,19,7.947368421052632,0.0,1.0,0.7894736842105263,4,0,Ferrari,Italian,0.30813124108416545,0.0,0.06451612903225806,1.983789473684212,8.289473684210526,31
2014,mclaren,181.0,0,2,1,19,8.631578947368421,0.0,1.0,0.6578947368421053,5,0,McLaren,British,0.2582025677603424,0.0,0.06451612903225806,1.6283421052631593,8.236842105263158,27
2014,force_india,155.0,0,1,6,19,11.5,0.0,1.0,0.7105263157894737,6,0,Force India,Indian,0.2211126961483595,0.0,0.03225806451612903,2.1716842105263154,11.5,11
2014,toro_rosso,30.0,0,0,8,19,11.447368421052632,0.0,1.0,0.3157894736842105,7,0,Toro Rosso,Italian,0.042796005706134094,0.0,0.0,2.1703684210526326,10.894736842105264,16
2014,lotus_f1,10.0,0,0,7,19,16.31578947368421,0.0,1.0,0.07894736842105263,8,0,Lotus F1,British,0.014265335235378032,0.0,0.0,3.2402647058823537,16.289473684210527,2
2014,marussia,2.0,0,0,7,16,18.677419354838708,0.0,1.0,0.03225806451612903,9,0,Marussia,Russian,0.0028530670470756064,0.0,0.0,4.410870967741936,18.967741935483872,0
2014,sauber,0.0,0,0,13,19,15.18421052631579,0.0,1.0,0.0,10,0,Sauber,Swiss,0.0,0.0,0.0,3.165297297297298,15.447368421052632,1
2014,caterham,0.0,0,0,12,17,19.441176470588236,0.0,1.0,0.0,11,0,Caterham,Malaysian,0.0,0.0,0.0,5.524303030303029,20.058823529411764,0
2015,mercedes,703.0,16,32,0,19,1.8157894736842106,0.0,1.0,0.9210526315789473,1,16,Mercedes,German,1.0,1.0,1.0,0.2110789473684218,1.8157894736842106,36
2015,ferrari,428.0,3,16,6,19,6.394736842105263,0.0,1.0,0.8157894736842105,2,3,Ferrari,Italian,0.6088193456614509,0.1875,0.5,1.1394210526315804,5.894736842105263,30
2015,williams,257.0,0,4,5,19,6.7368421052631575,0.0,1.0,0.6842105263157895,3,0,Williams,British,0.3655761024182077,0.0,0.125,1.375315789473688,6.947368421052632,32
2015,red_bull,187.0,0,3,5,19,8.894736842105264,0.0,1.0,0.7105263157894737,4,0,Red Bull,Austrian,0.26600284495021337,0.0,0.09375,1.4960526315789495,7.973684210526316,27
2015,force_india,136.0,0,1,5,19,10.078947368421053,0.0,1.0,0.5526315789473685,5,0,Force India,Indian,0.1934566145092461,0.0,0.03125,1.975605263157898,10.368421052631579,16
2015,lotus_f1,78.0,0,1,15,19,11.052631578947368,0.0,1.0,0.42105263157894735,6,0,Lotus F1,British,0.11095305832147938,0.0,0.03125,1.997263157894739,11.131578947368421,15
2015,toro_rosso,67.0,0,0,9,19,11.342105263157896,0.0,1.0,0.4473684210526316,7,0,Toro Rosso,Italian,0.0953058321479374,0.0,0.0,2.113472222222225,11.18918918918919,16
2015,sauber,36.0,0,0,5,19,13.947368421052632,0.0,1.0,0.2894736842105263,8,0,Sauber,Swiss,0.051209103840682786,0.0,0.0,2.7057105263157917,14.368421052631579,5
2015,mclaren,27.0,0,0,10,19,15.842105263157896,0.0,1.0,0.15789473684210525,9,0,McLaren,British,0.03840682788051209,0.0,0.0,2.954500000000003,15.722222222222221,0
2015,manor,0.0,0,0,3,18,17.444444444444443,0.0,1.0,0.0,10,0,Manor Marussia,British,0.0,0.0,0.0,6.350428571428573,19.085714285714285,0
2016,mercedes,765.0,19,33,3,21,2.9761904761904763,0.0,1.0,0.9285714285714286,1,19,Mercedes,German,1.0,1.0,1.0,0.22726829268292678,2.880952380952381,39
2016,red_bull,468.0,2,16,3,21,4.809523809523809,0.0,1.0,0.8571428571428571,2,2,Red Bull,Austrian,0.611764705882353,0.10526315789473684,0.48484848484848486,1.1407380952380959,5.523809523809524,39
2016,ferrari,398.0,0,11,8,21,5.690476190476191,0.0,1.0,0.8095238095238095,3,0,Ferrari,Italian,0.5202614379084968,0.0,0.3333333333333333,1.1063809523809525,5.166666666666667,40
2016,force_india,173.0,0,2,6,21,9.071428571428571,0.0,1.0,0.7142857142857143,4,0,Force India,Indian,0.2261437908496732,0.0,0.06060606060606061,1.751571428571429,8.857142857142858,29
2016,williams,138.0,0,1,6,21,9.071428571428571,0.0,1.0,0.6666666666666666,5,0,Williams,British,0.1803921568627451,0.0,0.030303030303030304,2.187047619047619,9.428571428571429,26
2016,mclaren,76.0,0,0,9,21,12.571428571428571,0.0,1.0,0.40476190476190477,6,0,McLaren,British,0.09934640522875816,0.0,0.0,2.189268292682927,12.536585365853659,12
2016,toro_rosso,63.0,0,0,9,21,12.023809523809524,0.0,1.0,0.38095238095238093,7,0,Toro Rosso,Italian,0.08235294117647059,0.0,0.0,2.17945238095238,12.380952380952381,15
2016,haas,29.0,0,0,8,21,14.0,0.0,1.0,0.11904761904761904,8,0,Haas F1 Team,American,0.03790849673202614,0.0,0.0,2.562,13.619047619047619,4
2016,renault,8.0,0,0,10,21,17.19047619047619,0.0,1.0,0.07142857142857142,9,0,Renault,French,0.01045751633986928,0.0,0.0,4.087625000000001,17.175,0
2016,sauber,2.0,0,0,9,21,18.166666666666668,0.0,1.0,0.023809523809523808,10,0,Sauber,Swiss,0.00261437908496732,0.0,0.0,3.9063500000000007,18.951219512195124,0
2016,manor,1.0,0,0,6,21,19.142857142857142,0.0,1.0,0.023809523809523808,11,0,Manor Marussia,British,0.00130718954248366,0.0,0.0,4.75005,19.390243902439025,0
2017,mercedes,668.0,12,26,1,20,3.475,0.0,1.0,0.975,1,12,Mercedes,German,1.0,1.0,1.0,0.2932051282051279,3.2,38
2017,ferrari,522.0,5,20,3,20,3.45,0.0,1.0,0.85,2,5,Ferrari,Italian,0.781437125748503,0.4166666666666667,0.7692307692307693,0.4915641025641031,3.55,39
2017,red_bull,368.0,3,13,13,20,6.55,0.0,1.0,0.675,3,3,Red Bull,Austrian,0.5508982035928144,0.25,0.5,1.410725,5.725,37
2017,force_india,187.0,0,0,2,20,9.175,0.0,1.0,0.875,4,0,Force India,Indian,0.27994011976047906,0.0,0.0,2.0958000000000006,9.725,28
2017,williams,83.0,0,1,8,20,12.425,0.0,1.0,0.5,5,0,Williams,British,0.12425149700598802,0.0,0.038461538461538464,3.0344000000000007,13.0,14
2017,renault,57.0,0,0,13,20,11.75,0.0,1.0,0.25,6,0,Renault,French,0.08532934131736528,0.0,0.0,2.39551282051282,11.384615384615385,16
2017,toro_rosso,53.0,0,0,12,20,13.525,0.0,1.0,0.3,7,0,Toro Rosso,Italian,0.07934131736526946,0.0,0.0,2.69651282051282,13.153846153846153,7
2017,haas,47.0,0,0,7,20,13.7,0.0,1.0,0.325,8,0,Haas F1 Team,American,0.07035928143712575,0.0,0.0,3.404700000000001,14.6,5
